Class	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16
1	0.413793103	0.813793103	0.44137931	0.096551724	0.220689655	0.006896552	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.371900826	0.578512397	0.363636364	0.449586777	0.214876033	0.008264463	0.00661157	0.004958678	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.6	0.62020202	0.303030303	0.228282828	0.2	0.026262626	0.006060606	0.006060606	0.004040404	0	0.002020202	0	0	0	0	1.00E-05
1	0.4	0.837837838	0.491891892	0.148648649	0.094594595	0.008108108	0.008108108	0.005405405	0	0.002702703	0	0	0	0	1.00E-05	1.00E-05
1	0.317333333	0.6	0.385333333	0.478666667	0.164	0.016	0.022666667	0.006666667	0	0.001333333	0	0.002666667	0.002666667	0	0	1.00E-05
1	0.488	0.856	0.61	0.028	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.3	1.133333333	0.083333333	0.2	0.1	0.05	0.116666667	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.384090909	0.723863636	0.503409091	0.301136364	0.071590909	0.006818182	0.003409091	0.004545455	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.456140351	0.757894737	0.529824561	0.042105263	0.175438596	0.007017544	0.010526316	0.003508772	0.014035088	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.426717557	0.641984733	0.386513995	0.457760814	0.078880407	0.002290076	0.003562341	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.349333333	0.768	0.48	0.333333333	0.053333333	0.005333333	0.008	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.350943396	0.549056604	0.332075472	0.464150943	0.2	0.050943396	0.009433962	0.018867925	0.020754717	0.001886792	0	0	0	0	0	1.00E-05
1	0.358333333	0.858333333	0.575	0.058333333	0.141666667	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.495424837	1.128104575	0.109803922	0.237908497	0.02745098	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.8	0.8	0.2	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.333870968	0.569354839	0.412903226	0.470967742	0.143548387	0.020967742	0.037096774	0.008064516	0.001612903	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.501333333	0.938666667	0.306666667	0.194666667	0.048	0	0.002666667	0.005333333	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.421052632	0.894736842	0.410526316	0.042105263	0.221052632	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.351464435	0.824267782	0.59874477	0.087866109	0.118828452	0.011715481	0.00334728	0.00083682	0.00125523	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.570909091	0.76	0.392727273	0.214545455	0.054545455	0	0	0.003636364	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.307692308	0.676923077	0.484615385	0.367307692	0.088461538	0.023076923	0.044230769	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.325581395	0.558139535	0.51627907	0.23255814	0.195348837	0.144186047	0.023255814	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.441441441	1.154954955	0.183783784	0.2	0.016216216	0.001801802	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.379775281	0.948314607	0.246067416	0.337078652	0.065168539	0.015730337	0.006741573	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.352795031	0.675776398	0.438509317	0.18757764	0.196273292	0	0.039751553	0.02484472	0.02484472	0.017391304	0.021118012	0.009937888	0.009937888	1.00E-05	1.00E-05	1.00E-05
1	0.483393502	1.023465704	0.158483755	0.212274368	0.105415162	0.00866426	0.006498195	0.000722022	0.000361011	0	0	0	0.000361011	1.00E-05	1.00E-05	1.00E-05
1	0.533777038	0.678202995	0.245257903	0.344758735	0.152079867	0.014975042	0.019966722	0.008985025	0.001663894	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.666	1.062	0.248	0.014	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.24516129	0.670967742	0.580645161	0.225806452	0.24516129	0.012903226	0.012903226	0	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.418	0.91	0.586	0.048	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.312883436	0.596319018	0.565644172	0.466257669	0.050920245	0.003067485	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.561904762	0.904761905	0.279365079	0.133333333	0.114285714	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.4	0.6	0.4	0.4	0	0	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.367532468	0.676623377	0.384415584	0.290909091	0.242857143	0.014285714	0.009090909	0.01038961	0.002597403	0	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.257471264	0.629885057	0.436781609	0.473563218	0.16091954	0.006896552	0.002298851	0.009195402	0.006896552	0.006896552	0.004597701	0	0.002298851	1.00E-05	1.00E-05	1.00E-05
1	0.487867178	0.882375479	0.25440613	0.274457216	0.072413793	0.010600255	0.009961686	0.004980843	0.001915709	0.000510856	0.000127714	0	0.000127714	1.00E-05	1.00E-05	1.00E-05
1	0.36	1	0.4	0.04	0	0	0.04	0.12	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.439393939	0.71969697	0.431818182	0.206060606	0.136363636	0.010606061	0.025757576	0.01969697	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.386842105	0.589473684	0.494736842	0.414473684	0.035526316	0.051315789	0.026315789	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
1	0.586	0.862	0.49	0.052	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.556	0.898	0.53	0.014	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.512	1.396	0.086	0.004	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.623	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.458	0.868	0.668	0.002	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.646	0.786	0.228	0.304	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.32	0.924	0.744	0.008	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.458	1.46	0.078	0.002	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.617	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.616	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.624	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.63	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.951	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.905	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.378	1.014	0.6	0.006	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.524	0.892	0.572	0.01	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.382	0.868	0.746	0.002	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.696	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.43	0.946	0.616	0.004	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.674	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.578	0.762	0.426	0.224	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.675	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.662	0.726	0.232	0.322	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.36	1.014	0.622	0.002	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.438	1.544	0.01	0.002	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.336	0.972	0.686	0.002	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.344	0.926	0.726	0.002	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.46	0.98	0.556	0.002	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.685	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.687	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.384	0.796	0.814	0.004	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
0	0.603	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05	1.00E-05
