""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"label"
"00872869"	0.516	0.81	0.62	0.036	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00872870"	0.576470588235294	0.705882352941177	0.482352941176471	0.170588235294118	0.0529411764705882	0	0	0	0.00588235294117647	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00872871"	0.2	1	0.6	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00872878"	0.616216216216216	0.294594594594595	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00872882"	0.57972972972973	0.259459459459459	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00872883"	0.372179487179487	0.54051282051282	0.305128205128205	0.367435897435897	0.264615384615385	0.105769230769231	0.0166666666666667	0.0143589743589744	0.00807692307692308	0.00346153846153846	0.00128205128205128	0.000384615384615385	1e-05	1e-05	1e-05	1e-05	"c"
"00874302"	0.387878787878788	0.596736596736597	0.42004662004662	0.420979020979021	0.108158508158508	0.0251748251748252	0.034032634032634	0.00466200466200466	0.000932400932400932	0.000466200466200466	0	0	1e-05	1e-05	1e-05	1e-05	"c"
"00874304"	0.45655737704918	0.685245901639344	0.563114754098361	0.140983606557377	0.14016393442623	0.00573770491803279	0.00327868852459016	0.00245901639344262	0.00163934426229508	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00874305"	0.409090909090909	0.692045454545455	0.578409090909091	0.0806818181818182	0.173863636363636	0	0.0204545454545455	0.0181818181818182	0.0238636363636364	0.00113636363636364	0	0	0	0.00113636363636364	0	1e-05	"c"
"00874306"	0.378034682080925	0.668208092485549	0.684393063583815	0.132947976878613	0.120231213872832	0.00346820809248555	0.0069364161849711	0.0046242774566474	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00874307"	0.4375	0.76875	0.575	0.2	0.0125	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00874308"	0.28780487804878	0.746341463414634	0.682926829268293	0.2	0.0390243902439024	0.0048780487804878	0.0195121951219512	0.00731707317073171	0.00975609756097561	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00874313"	0.46016	0.61792	0.40928	0.47584	0.0288	0.00192	0.0032	0.00256	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00874321"	0.52416	0.61696	0.3728	0.42048	0.0576	0.00192	0.0032	0.00256	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00874330"	0.324	0.848	0.614	0.132	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"00874331"	0.466666666666667	0.683333333333333	0.533333333333333	0.1	0.166666666666667	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
